id,name,ward,address,addressToSearch,station,owner,timeOpen,timeClose,allDayFlg,capacity,biginDate,tel,lng,lat,accuracy
6011,(勝どき駅前保育園　ナナ),中央区,勝どき2-6-9,東京都中央区勝どき2-6-9,都営大江戸線勝どき駅,春日宜江,,,○,定員設定なし,H12.10.18,3531-1012,139.779072,35.658616,8
6012,ロイヤルベビーサロン 銀座,中央区,銀座1-5-14　銀座コスミオンビル7階,東京都中央区銀座1-5-14,有楽町線銀座一丁目駅,株式会社ウイミン　,10:00,18:00,,7,H12.10.28,6914-3278,139.767142,35.674894,8
6013,Grace(グレイス),中央区,月島1-19-1プチビルイ-スト2Ｆ・3Ｆ,東京都中央区月島1-19-1,有楽町線月島駅,齋藤恵子,9:30,17:00,,13,H10. 4. 1,3531-6466,139.781986,35.664579,8
6014,キッズ花花　銀座店,中央区,銀座7-15-18　銀ビル1階,東京都中央区銀座7-15-18,日比谷線東銀座駅,有限会社花花,,,○,定員設定なし,H17.12.15,3549-0369,139.765495,35.667465,8
6015,ＪＣＱバイリンガル幼児園,中央区,晴海1-8-2トリトンスクエア内2階,東京都中央区晴海1-8-2,都営大江戸線勝どき駅,現代幼児基礎教育開発株式会社,7:30,20:00,,147,H20.2.6,6228-1811,139.781839,35.656122,8
6016,ナーサリーウイ,中央区,銀座6-16-5銀座さ可井・小川ビル2階,東京都中央区銀座6-16-5,都営浅草線東銀座駅,株式会社正コーポレーション,,,○,定員設定なし,H20.9.15,6808-9331,139.766004,35.667751,8
6017,キッズスクウエア銀座三越,中央区,銀座4-6-16,東京都中央区銀座4-6-16,日比谷線　銀座駅,株式会社三越銀座,10:00,18:00,,12,H22.9.13,3535-1828,139.765542,35.671239,8
6018,あんふぁにぃ,中央区,銀座2－13－3ライトビル2階,東京都中央区銀座2-13-3,日比谷線　東銀座駅,株式会社ジョイサポ,7:30,19:30,,30,H24.2.1,6278-7858,139.770331,35.671853,8
6019,みらいえインターナショナルスクール,中央区,日本橋富沢町6-5　アソルティ人形町１階,東京都中央区日本橋富沢町6-5,日比谷線　人形町駅,株式会社市進ホールディングス,8:30,18:30,,20,H25.4.8,5695-6885,139.783146,35.688252,8
6020,キッズスクウェア東京スクエアガーデン,中央区,京橋3-1-1東京スクエアガーデン3階,東京都中央区京橋3-1-1,銀座線　京橋,株式会社アルファコーポレーション,9:00,20:00,,30,H25.4.1,5542-1671,139.768709,35.676097,8
6021,オレンジ・インターナショナル・プリスクール,中央区,佃1-11-8-251,東京都中央区佃1-11-8,有楽町線　月島駅,カラフル・アソシエイツ・合同会社,8:30,18:00,,12,H25.11.1,6225-0772,139.784697,35.669432,8
6022,日本橋高島屋ナーサリールーム,中央区,日本橋2-4-1  日本橋高島屋5F,東京都中央区日本橋2-4-1,東西線・浅草線  日本橋駅,株式会社キンダーネットワーク,10:00,19:30,,5,S63.10.1,3246-5542,139.773697,35.680669,8
6023,まちのてらこや保育園,中央区,日本橋富沢町4-1　ミズホビル2階,東京都中央区日本橋富沢町4-1,日比谷線人形町駅,株式会社サムライウーマン,8:00,19:00,,34,H27.9.1,6661-2216,139.782869,35.687785,8
6024,広尾キッズワールド,港区,南麻布5-10-24　第2佐野ビル2Ｆ,東京都港区南麻布5-10-24,日比谷線　広尾駅,ピジョンハーツ株式会社,9:00,18:00,,12,H 8. 4.17,3448-9081,139.722366,35.652596,8
6025,白金　キッズワールド,港区,白金3-17-17　タイムズコ-ト白金206,東京都港区白金3-17-17,南北線　白金高輪駅,ピジョンハーツ株式会社,9:00,18:30,,31,H 9. 3.26,3444-6600,139.728274,35.644091,8
6026,Baby  Room  かわい,港区,芝大門1-4-4　ノア芝大門701、702,東京都港区芝大門1-4-4,都営浅草線　大門駅,株式会社HAGUKUMI,8:00,18:00,,10,H11. 9.25,3578-1955,139.754587,35.658632,8
6027,赤ちゃんサロン吉田,港区,港区芝4-16-2 カテリーナ三田,東京都港区港区芝4-16-2,南北線　白金高輪駅,吉田　道子,,,○,定員設定なし,S60.10.1,3451-8316,139.748518,35.647876,8
6028,ドリームキッズ　ネットワーク,港区,南青山2-9-23,東京都港区南青山2-9-23,銀座線　外苑前駅,株式会社ドリームキッズネットワーク,8:00,22:00,,42,H12. 4.10,3403-6612,139.721352,35.670263,8
6029,幼児ルーム　マンマ・マーノ,港区,西麻布4-17-2　ヤマグチハウス101,東京都港区西麻布4-17-2,都営バス　南青山七丁目バス停,三坂利佳,8:00,18:00,,15,H12. 3. 1,3797-3181,139.720133,35.659075,8
6030,リトル・メイト（ホテルオークラ内）,港区,虎の門2-10-4　ホテルオ-クラ本館205,東京都港区虎の門2-10-4,銀座線　虎ノ門駅,東京リトル・メイト株式会社,8:00,22:00,,15,S54.10. 1,3586-0360,139.74435,35.666964,8
6031,ベビー＆キッズルーム　パオ,港区,東麻布1-17-11　TNビル3F,東京都港区東麻布1-17-11,都営大江戸線　赤羽橋駅,有限会社シンカ,7:00,22:00,,定員設定なし,H13. 9. 1,3585-1080,139.74297,35.656101,8
6032,だっこルーム,港区,高輪4-10-30　品川プリンスホテル,東京都港区高輪4-10-30,京浜急行線　品川駅,株式会社小学館集英社プロダクション,8:00,21:00,,15,H14. 4. 25,5475-7411,139.735285,35.628021,8
6033,キッズスクウェア　アークヒルズ,港区,六本木1-3-41　ア-クヒルズサイド3階,東京都港区六本木1-3-41,南北線　六本木一丁目駅,株式会社アルファコーポレーション,7:30,22:00,,定員設定なし,H15. 1. 6,3583-9320,139.740189,35.665939,8
6034,キッズスクエア　六本木ヒルズ,港区,六本木6-10-1　六本木ヒルズ　ウエストウォ-ク6F,東京都港区六本木6-10-1,日比谷線　六本木駅,株式会社アルファコーポレーション,7:30,22:00,,45,H15. 8.26,5772-1577,139.729043,35.660401,8
6035,ふたばクラブ（麻布会）,港区,東麻布1-5-6麻布市川ビル1階,東京都港区東麻布1-5-6,都営大江戸線　神谷町駅,双葉教育株式会社,9:00,18:30,,25,H17.8.28,6459-1211,139.743147,35.657862,8
6036,東麻布保育室,港区,東麻布2-1-1,東京都港区東麻布2-1-1,都営大江戸線　赤羽橋駅,港区,7:15,20:15,,152,H19.10.22,3584-3811,139.742606,35.658187,8
6037,高輪シュタイナーこども園,港区,高輪3-18－2,東京都港区高輪3-18-2,JR山の手線　品川駅,株式会社こどもとくらし,9:00,16:00,,9,H20.8.1,5424-1776,139.734538,35.633184,8
6038,キッズ花花　六本木店,港区,六本木6-6-13スプリ-ムマンション302,東京都港区六本木6-6-13,都営大江戸線　六本木駅,有限会社花花,,,○,定員設定なし,H19.12.10,3402-0963,139.731665,35.662109,8
6039,札の辻保育室,港区,芝5-36-4,東京都港区芝5-36-4,JR山の手線：田町駅、都営三田線：三田駅,港区,7:15,20:15,,174,H20.2.1,5232-1130,139.744617,35.645114,8
6040,PEEK A BOO,港区,麻布十番1－10－3,東京都港区麻布十番1-10-3,都営大江戸線　　麻布十番駅,梶村　奈美,,,○,11,H21.3.15,080-3912-0858,139.736306,35.65621,8
6041,アイ　インターナショナルスクール,港区,三田5-4-1  3階,東京都港区三田5-4-1,JR山の手線　田町駅,アイインターナショナルスクール株式会社,8:30,18:30,,31,S61,3769-3372,139.738642,35.647847,8
6042,ヤマトインターナショナルスクール,港区,南麻布2-1-18,東京都港区南麻布2-1-18,都営三田線　　白金高輪駅,ヤマト・インターナショナルスクール,7:30,18:30,,定員設定なし,H15.6.5,5488-7888,139.734079,35.649383,8
6043,港区青南保育室,港区,南青山4-19-18,東京都港区南青山4-19-18,銀座線　表参道駅,港区,7:15,20:15,,120,H22.4.1,5770-3933,139.716591,35.663905,8
6044,SOH,港区,南青山2-18-11ARUMAKAN101,東京都港区南青山2-18-11,銀座線　外苑前駅,伊東晶子,8:00,23:00,,10,H22.7.3,6447-2352,139.71983,35.669108,8
6045,港区たまち保育室,港区,芝浦3-4-1グランパ-クプラザ棟2階,東京都港区芝浦3-4-1,JR山の手線　田町駅,港区,7:15,20:15,,181,H22.6.1,5484-6088,139.745492,35.643692,8
6046,バイリンガサイエンスインターナショナルスクール,港区,高輪3-21-7　レガロ高輪1階,東京都港区高輪3-21-7,JR山の手線　品川駅,バイリンガランゲージスクール有限会社,8:30,18:00,,72,H22.9.14,6450-2923,139.735874,35.632529,8
6047,Ａｙｌａ　Ｉｎｔｅｒｎａｔｉｏｎａｌ　Ｓｃｈｏｏｌ（アイラ　インターナショナルスクール）,港区,白金台5－１３－28　白金台102号,東京都港区白金台5-13-28,都営三田線　白金台駅,Ａ－ＧＡＴＥ株式会社,9:00,20:00,,30,H15.7. 1,3448-2585,139.722474,35.637698,8
6048,一般社団法人東京アメリカンクラブチャイルドケアセンター,港区,麻布台2-1-2,東京都港区麻布台2-1-2,都営大江戸線　麻布十番駅,一般社団法人東京アメリカンクラブ,9:00,21:00,,21,40634,4588-0701,139.741056,35.658348,8
6049,まほうの保育園,港区,港南3-5-10パークタワー品川ベイワード1階,東京都港区港南3-5-10,JR山の手線　品川駅,株式会社HIROLINE,7:00,22:00,,40,H23.12.1,3471-7731,139.748048,35.634176,8
6050,リトルスターキッズクラブ,港区,西麻布4－10－1MFビル1階,東京都港区西麻布4-10-1,日比谷線　広尾駅,株式会社One＆Only,8:30,21:00,,20,H20.2.1,3797-1355,139.722957,35.657962,8
6051,みなと保育サポート白金,港区,白金3-10-12　2階,東京都港区白金3-10-12,南北線　白金駅,港区,7:15,18:15,,27,H24.4.1,5423-4909,139.730991,35.644894,8
6052,港区桂坂保育室,港区,高輪3－19－36,東京都港区高輪3-19-36,JR山の手線　品川駅,港区,7:15,20:15,,295,H23.5.1,5475-6646,139.737212,35.633387,8
6053,港区芝浦アイランドこども園,港区,芝浦4－20－1,東京都港区芝浦4-20-1,JR山の手線　田町駅,港区,7:15,22:00,,100,H19.4.1,5443-7337,139.752419,35.640373,8
6054,キッズガーデン広尾,港区,南麻布5-16-13グリーンコア広尾1階,東京都港区南麻布5-16-13,日比谷線　広尾駅,株式会社kid's Smaile　Project,7:30,21:00,,30,H20.12.12,6721-7111,139.723513,35.651551,8
6055,伸芽'Sクラブ田町,港区,芝浦3－１６－１中野興産ビル2階3階,東京都港区芝浦3-16-1,JR山の手線　田町駅,株式会社伸芽会,7:30,21:00,,80,H24.7.30,3452-3759,139.749739,35.642195,8
6056,南青山たんぽぽ保育所,港区,南青山4－20－3メゾン・ド・ラーク,東京都港区南青山4-20-3,銀座線　表参道駅,株式会社ハセガワエスティ,8:00,20:00,,20,H24.10.1,6434-5932,139.715944,35.664858,8
6057,creche bebe,港区,赤坂４-１４-１４パークコート赤坂ザ・タワープラザ１階,東京都港区赤坂4-14-14,銀座線　赤坂見付駅,株式会社チェンジウェーブ,9:00,18:00,,2,H25.2.28,6277-8555,139.731392,35.673441,8
6058,都市型保育園ポポラー東京表参道園,港区,北青山3-3-7　青山第一ビル２F,東京都港区北青山3-3-7,銀座線　表参道駅,株式会社タスク・フォース,7:30,21:00,,32,H25.3.25,5772-9090,139.715022,35.668413,8
6059,東京international kindercare,港区,東麻布1-26-2セラフデアザブ3F,東京都港区東麻布1-26-2,大江戸線 赤羽橋駅,株式会社日本international kindercare,8:30,22:00,,12,H25.4.1,6441-0545,139.744803,35.655418,8
6060,みなと保育サポート港南四丁目,港区,港南４-２-４都営住宅1F,東京都港区港南4-2-4,JR山の手線　品川駅,港区,7:15,18:15,,20,H25.4.22,5796-8862,139.74756,35.630269,8
6061,港区港南四丁目保育室,港区,港南４-２-４都営住宅1F,東京都港区港南4-2-4,JR山の手線　品川駅,港区,7:15,20:15,,46,H25.4.1,5796-8863,139.74756,35.630269,8
6062,キッズランド,港区,西麻布2-17-6-202,東京都港区西麻布2-17-6,日比谷線・大江戸線六本木・表参道,WINカンパニー,,,○,10,H25.8.1,6450-5365,139.720294,35.662194,8
6063,港区愛宕保育室,港区,愛宕1-7-5,東京都港区愛宕1-7-5,日比谷線　神谷町駅,港区,7:15,20:15,,47,H25.10.1,3433-2671,139.749257,35.664477,8
6064,ベビールーム新橋,港区,新橋5-9-5ＮTビル2階,東京都港区新橋5-9-5,JR山の手線　新橋駅,佐藤　多佳,7:00,23:00,,定員設定なし,H25.10.7,6435-8350,139.755752,35.663407,8
6065,Sｔ.Alban’ｓ　Nursery　　聖オルバン　ナーサリー,港区,芝公園3-6-25,東京都港区芝公園3-6-25,日比谷線神谷町,ロズリン　ヘイマン,9:00,14:00,,20,H25.11.1,090-6840-4542,139.743822,35.659995,8
6066,クランテテ三田,港区,三田1-3-31　FORECAST三田３階,東京都港区三田1-3-31,大江戸線　赤羽橋駅,株式会社GIビレッジ,8:00,21:00,,60,H26.1.1,5439-5291,139.743539,35.654577,8
6067,芝浦橋保育室,港区,芝浦4-6-8　田町ファーストビル2階,東京都港区芝浦4-6-8,JR各線　田町駅,港区,7:15,20:15,,223,H25.12.1,6865-1004,139.74495,35.639242,8
6068,港区緊急暫定保育施設　港区浜松町二丁目保育室,港区,浜松町2-3-20,東京都港区浜松町2-3-20,JR各線　浜松町駅,港区,7:15,20:15,,129,H26.4.1,6435-9507,139.755705,35.654899,8
6069,キッズガーデン元麻布,港区,元麻布3-4-23　A.R.T元麻布2F,東京都港区元麻布3-4-23,日比谷線　広尾駅,株式会社kids Smile　Project,8:00,20:00,,定員設定なし,H20.12.12,6447-7556,139.727257,35.65587,8
6070,バイリンガサイエンスインターナショナルスクール　青山校,港区,南青山6-13-14,東京都港区南青山6-13-14,半蔵門線表参道駅,株式会社バイリンガ,8:30,18:00,,18,H26.8.1,6450-6179,139.714875,35.659292,8
6071,みなと保育サポート東麻布,港区,東麻布2-1-1　4階,東京都港区東麻布2-1-1,大江戸線　赤羽橋駅,港区,7:15,18:15,,20,H26.4.1,5544-8461,139.742606,35.658187,8
6072,カンガルーのぽけっと,港区,高輪1-17-13-101,東京都港区高輪1-17-13,都営三田線、南北線白金高輪,福島　忍,,,○,定員設定なし,H26.10.1,3446-6755,139.733199,35.640064,8
6073,TOEアカデミー　高輪校,港区,高輪4-5-3,東京都港区高輪4-5-3,JR各線品川駅,株式会社　EDIＱ,8:00,20:00,,35,H27.1.5,6277-4083,139.732227,35.627288,8
6074,きらめき保育園,港区,新橋5-13-7　４C’S新橋ビル２F,東京都港区新橋5-13-7,JR線新橋駅,フォーシーズ株式会社,7:00,20:00,,15,H26.12.1,6459-0358,139.756796,35.66269,8
6075,Universal Childcare Akasaka,港区,赤坂7-7-5　赤坂セブンビル１F,東京都港区赤坂7-7-5,千代田線　赤坂駅,麻布クリエイト株式会社,7:30,19:30,,27,H27.4.1,5797-7280,139.732776,35.670805,8
6076,ファミリアプリスクール,港区,白金台4-10-8,東京都港区白金台4-10-8,都営三田線　白金台駅,株式会社ファミリア,8:00,20:00,,60,H27.4.12,5475-8626,139.724213,35.637728,8
6077,ベイクレストタワー保育室,港区,港南3-9-33,東京都港区港南3-9-33,JR線　品川駅,さんまーくえいてす株式会社,7:45,19:30,,12,H17.12.1,5460-4031,139.751697,35.631713,8
6078,ちゃいるどはっぴっぴ白金台,港区,白金台5-13-29-１F,東京都港区白金台5-13-29,南北線　白金台駅,株式会社リンクス,8:00,18:00,○,10,H18.3.10,070-6556-4981,139.72235,35.637656,8
6079,港区緊急暫定保育施設　港区南麻布三丁目保育室,港区,南麻布3-5-15,東京都港区南麻布3-5-15,東京メトロ南北線　　麻布十番駅,港区,7:15,20:15,,87,H27.4.1,3443-5711,139.730557,35.650985,8
6080,シャトーデバンビーニモンテッソーリスクール,港区,南麻布2-8-18,東京都港区南麻布2-8-18,南北線白金高輪駅,ジョーンズ　栄理子,8:00,19:00,,60,H25.1.30,6400-3328,139.7355732,35.6484521,8
6081,おひさま保育室,新宿区,新宿7-13-2　笹木ビル１F,東京都新宿区新宿7-13-2,大江戸線　東新宿駅,泉谷　友貴,8:00,19:00,,定員設定なし,S55.12 .8,080-4720-6518,139.711087,35.69857,8
6082,カワイこどもルーム,新宿区,上落合2-13-6,東京都新宿区上落合2-13-6,東西線　落合駅,河合薬業株式会社,8:00,20:00,,定員設定なし,H12. 9. 1,3365-1152,139.687631,35.711263,8
6083,ベビーサロン　きこり,新宿区,百人町2-21-22　,東京都新宿区百人町2-21-22 ,JR山の手線　大久保駅,矢部　光啓,8:00,19:00,,8,H11.12. 1,5348-5347,139.697305,35.702944,8
6084,リトル・メイト（京王プラザ内）,新宿区,西新宿2-2-1　京王プラザホテル本館30階,東京都新宿区西新宿2-2-1,JR線　新宿駅,東京リトル・メイト株式会社,8:00,22:00,,15,S53.12. 1,3345-1439,139.694664,35.689685,8
6085,キッズパラダイス新宿,新宿区,新宿3-9-5　ゴ-ルドビル5F,東京都新宿区新宿3-9-5,都営新宿線　新宿三丁目駅,スターメッドグループ株式会社,,,○,20,H19.3.1,5369-2303,139.706785,35.691377,8
6086,たいよう保育園　新宿園,新宿区,新宿5-18-9　酒井ビル2F,東京都新宿区新宿5-18-9,JR線　新宿駅,石澤ハルノ,7:30,2:00,,20,H14. 7.10,5272-7028,139.705857,35.694687,8
6087,保育室そよ風,新宿区,市谷鷹匠町3番町　市谷ヒルズ202,東京都新宿区市谷鷹匠町3番町,南北線　市ヶ谷駅,松隈裕子,8:30,19:00,,5,H14. 4. 1,090-2561-0260,139.733789,35.695873,8
6088,早稲田フロンティアキッズ,新宿区,河田町3-16　河田町コンフォガ-デン施設C棟,東京都新宿区河田町3-16,都営新宿線　若松河田駅,株式会社ファミーラ,7:00,20:00,,69,H15.7.1,3356-8080,139.720125,35.696404,8
6089,Dr.MOM Nursery School,新宿区,左門町6-7鯉江ビル2階,東京都新宿区左門町6-7,丸ノ内線  四谷三丁目駅,Dr.MOM,7:00,22:00,,44,18.5.15,5362-3387,139.720379,35.686417,8
6090,ふぃおーれ保育室,新宿区,新宿7-26-9フィオ-レ東京3階,東京都新宿区新宿7-26-9,都営新宿線　若松河田駅,東京社会保険協会,8:00,16:00,,18,H22.4.16,5287-6211,139.709071,35.697998,8
6091,(独）国立国際医療研究センター　あさがお保育園,新宿区,戸山1-21-1　第2教育研修棟301,東京都新宿区戸山1-21-1,都営大江戸線若松河田駅, 国立国際医療研究センター,8:00,18:30,,5,S39.10.11,3202-7181,139.715798,35.703214,8
6092,伸芽’Sクラブプレミアム神楽坂,新宿区,神楽坂1-2研究社英語センタービル1F,東京都新宿区神楽坂1-2,JR山手線　東西線飯田橋駅,株式会社伸芽会,7:30,21:00,,80,H25.9.1,3268-3759,139.741087,35.699035,8
6093,わんぱくランド,新宿区,歌舞伎町1-15-1　吉本ビル2F,東京都新宿区歌舞伎町1-15-1,西武新宿線　西武新宿駅,株式会社プリマウ゛ェーラ,,,○,15,H26.1.6,6457-3978,139.70238,35.693971,8
6094,どみそ保育園,新宿区,高田馬場3-12-5　セブンビル2階,東京都新宿区高田馬場3-12-5,JR山手線　高田馬場駅,株式会社ベストペース,,,○,45,H26.4.14,6304-0905,139.700888,35.713213,8
6095,あすたび保育園,新宿区,歌舞伎町2-42-17-202,東京都新宿区歌舞伎町2-42-17,西武新宿線西武新宿駅,高橋秀一,7:00,20:00,,20,H27.9.1,6380-2815,139.701302,35.697926,8
6096,新宿御苑前保育園,新宿区,新宿1-19-8　　サンモール第7ビル2F,東京都新宿区新宿1-19-8,丸ノ内線新宿御苑前駅,株式会社日新館,,,○,20,H27.3.5,6457-4193,139.712593,35.689755,8
6097,Meducare　Bambino市ヶ谷,新宿区,市谷仲之町3-16,東京都新宿区市谷仲之町3-16,都営新宿線曙橋駅,株式会社ウェルエステート,7:00,20:00,,25,H27.10.1,6273-2629,139.722047,35.695052,8
6098,ミルキーホーム湯島園,文京区,湯島3-31-1スト-ク湯島1階,東京都文京区湯島3-31-1,千代田線　湯島駅,株式会社サニースタッフ,,,○,18,H 7.10. 4,3832-6070,139.76857,35.70823,8
6099,The happy nursery school,文京区,千駄木2-13-1　ルネ千駄木プラザ227,東京都文京区千駄木2-13-1,千代田線　千駄木駅,長谷川摩里,7:30,20:00,,17,H12. 4.15,3827-5830,139.7621,35.72304,8
6100,キッズスクエア（東京ドームホテル内）,文京区,後楽1-3-61　東京ド-ムホテル内7Ｆ,東京都文京区後楽1-3-61,ＪＲ総武線　水道橋駅,株式会社アルファ・コーポレーション,7:30,22:00,,15,H12. 6. 1,5805-2272,139.75215,35.70315,8
6101,マザーグース東京湯島営業所リトルハウス,文京区,湯島3-12-13,東京都文京区湯島3-12-13,千代田線　湯島駅,西　陽子,7:00,22:00,,12,H16.4.17,3837-3767,139.76923,35.70463,8
6102,NAS KIDS UNIVERSITY BUNKYO,文京区,千駄木3-50-2,東京都文京区千駄木3-50-2,千代田線　千駄木駅,スポーツクラブNAS株式会社,8:00,20:00,,50,H25.4.8,5834-2551,139.76237,35.73029,8
6103,まるる保育園,文京区,大塚3-43-3小石川ハイツ星座101,東京都文京区大塚3-43-3,丸ノ内線　茗荷谷駅,西　泰宏,8:00,19:00,,24,H26.11.25,6902-0155,139.73666,35.72285,8
6104,音羽の坂こども園,文京区,音羽1-1-7吉見屋ビル1F,東京都文京区音羽1-1-7,有楽町線　江戸川橋駅,辻村人材コンサル株式会社,8:00,20:00,,30,H27.4.1,6304-1138,139.73212,35.71117,8
6105,STAR☆KIDS　保育園,文京区,小日向4-2-6　TS93ビル6F,東京都文京区小日向4-2-6,丸ノ内茗荷谷駅,株式会社FALCON,8:00,18:00,,40,H27.10.15,6721-1966,139.73994,35.71496,8
6106,ベビークラブラサタ,文京区,小石川5-11-15　小石川ビューパレー102,東京都文京区小石川5-11-15,丸ノ内茗荷谷駅,株式会社示人社,9:00,17:00,,12,H22.6.1,3868-2278,139.7415,35.71655,8
6107,ぽっぽはうす,台東区,千束3-6-8スカイコ-ト102号,東京都台東区千束3-6-8,日比谷線　入谷駅,大山　幸弘,,,○,定員設定なし,H11. 8.10,3874-8366,139.79295,35.72062,8
6108,こどもの城,台東区,千束3-27-3,東京都台東区千束3-27-3,日比谷線　入谷駅,西野入由美子,,,○,27,H13.12. 2,3876-2161,139.79411,35.72238,8
6109,リトルハウス谷中,台東区,谷中3-20-15,東京都台東区谷中3-20-15,ＪＲ山の手線　　西日暮里駅,西　陽子,8:30,22:00,,11,H16.4.17,090-2900-8061,139.76457,35.7302,8
6110,ベベ・ア・パリ,台東区,台東3-34-5島田ビル1F,東京都台東区台東3-34-5,大江戸線　新御徒町,株式会社fesパートナーズ,7:30,20:00,,20,H21.5.20,6803-2210,139.77943,35.70543,8
6111,ちびっ子ハウス,台東区,池之端1-1-2ウスタムコ-ツ池之端ハイツ201,東京都台東区池之端1-1-2,千代田線　湯島駅,株式会社ちびっ子ハウス,,,○,定員設定なし,H22.10.5,6240-1432,139.76949,35.70879,8
6112,ほしぞら保育園,台東区,西浅草1-9-11三井ビル3，4階,東京都台東区西浅草1-9-11,つくばエクスプレス浅草駅,小野　正也,,,○,定員設定なし,H23.1.4,6231-7446,139.79102,35.7117,8
6113,託児ルームミケハウス,台東区,台東区雷門2-1-10若山ビル1階,東京都台東区台東区雷門2-1-10,東京メトロ銀座線　浅草駅,大久保　匠,,,○,定員設定なし,H22.4.1,3841-7707,139.7783433,35.7049216,8
6114,結インターナショナルプリスクール,台東区,寿１-5-10　1510ビル,東京都台東区寿1-5-10,都営大江戸線　蔵前,⑭ゼットフラッグ,9:00,18:00,,25,H25.11.1,5830-7310,139.79066,35.7067,8
6115,柳北保育室,台東区,浅草橋5－1－35,東京都台東区浅草橋5-1-35,JR総武線　浅草橋,台東区,7:15,19:15,,33,H25.4.1,3863-8505,139.78314,35.69965,8
6116,めいわキッズ,台東区,松が谷2-1-2,東京都台東区松が谷2-1-2,東京メトロ銀座線田原町駅,めいわキッズ,9:00,17:00,,9,H27.6.29,6802-8667,139.78815,35.71243,8
6117,すみだ子どもサロン,墨田区,亀沢4-17-18,東京都墨田区亀沢4-17-18,ＪＲ総武線　錦糸町駅,ＮＰＯすみだライフサービス,9:00,17:00,,4,H17.10.17,3626-6781,139.80783,35.69759,8
6118,キッズタイム,墨田区,亀沢3-23-7　石橋ビル1階,東京都墨田区亀沢3-23-7,ＪＲ総武線　錦糸町駅,有限会社リミットレス,8:00,19:00,,定員設定なし,H18.10.1,3622-5507,139.80365,35.69895,8
6119,保育所ちびっこランド錦糸町園,墨田区,江東橋4-15-6フェミナスウィスタリア2階,東京都墨田区江東橋4-15-6,ＪＲ総武線　錦糸町駅,松村　秀男,7:30,18:00,,33,H19.12.12,6661-1557,139.81779,35.69466,8
6120,チャイルドガーデンズ,墨田区,錦糸4-10-14ドルミ錦糸町パ-クサイドビル201,東京都墨田区錦糸4-10-14,ＪＲ総武線　錦糸町駅,株式会社エボルニ,7:30,21:00,,25,H22.12.27,5610-4588,139.81883,35.69806,8
6121,子育てステーション「こだち」,墨田区,立花1－23－5,東京都墨田区立花1-23-5,JR東武亀戸線　東あずき駅,NPO法人ワーカーズコープ,9:00,18:00,,4,H24.5.18,080-8026-2675,139.8312416,35.7066499,8
6122,わんぱくランド錦糸町園,墨田区,太平4-6-14ストーク錦糸町102,東京都墨田区太平4-6-14,JR総武線錦糸町駅,株式会社プリマヴェーラ,7:30,20:00,,40,H26.3.28,5637-7823,139.81729,35.70145,8
6123,ミルキーホーム亀戸園,江東区,亀戸5-12-10中西レジデンス103,東京都江東区亀戸5-12-10,JR総武線　亀戸駅,株式会社サニースタッフ,,,○,37,S59.11. 1,3681-4314,139.82704,35.69899,8
